Player #,# Rounds,# Vertices,# Players,Edge Density,Algorithm,Ranking,Score,# Controlled Vertices
3,2,195,5,0.32936872447070464,uncontrolled max,3,120.0,37
4,2,195,5,0.32936872447070464,random,5,77.0,24
5,2,195,5,0.32936872447070464,random,2,137.53311258278143,46
1,2,197,2,0.08641993826745098,max,2,104.88737201365188,33
2,2,197,2,0.08641993826745098,greedy,1,493.5478723404256,164
1,3,212,3,0.43091450251528673,neighbors,1,289.9551569506724,88
2,3,212,3,0.43091450251528673,random,2,224.12364760432774,73
3,3,212,3,0.43091450251528673,random,3,145.03543913713406,51
1,2,215,2,0.48504894064364856,random,2,202.23744292237438,61
2,2,215,2,0.48504894064364856,greedy,1,472.07241910631717,154
1,4,238,4,0.4248601288094637,neighbors,1,331.60669456066927,99
2,4,238,4,0.4248601288094637,max,3,125.7723577235773,41
3,4,238,4,0.4248601288094637,random,4,70.01933701657458,28
4,4,238,4,0.4248601288094637,neighbors,2,221.79574468085116,70
1,3,236,4,0.03217999833906299,neighbors,2,250.29295774647912,83
2,3,236,4,0.03217999833906299,neighbors,1,256.6375176304654,87
3,3,236,4,0.03217999833906299,uncontrolled max,4,68.54913294797689,21
4,3,236,4,0.03217999833906299,max,3,128.63661971830982,39
1,3,174,5,0.15690583797537921,random,2,134.03978300180825,46
